학년,학기,이수구분,과목명,선수과목,비고,키워드,URL
1,1,공통필수,세종인을위한진로설계,,,,https://www.sejong.ac.kr/kor/college/architectural-engineering.do
1,1,공통필수,문제해결을위한글쓰기와발표,,,,https://www.sejong.ac.kr/kor/college/architectural-engineering.do
1,1,공통필수,우주자연인간,,,,https://www.sejong.ac.kr/kor/college/architectural-engineering.do
1,1,학문기초교양필수,SW기초코딩,,,,https://www.sejong.ac.kr/kor/college/architectural-engineering.do
1,1,학문기초교양필수,미적분학1,,,,https://www.sejong.ac.kr/kor/college/architectural-engineering.do
1,1,전공기초,일반물리학1,,,,https://www.sejong.ac.kr/kor/college/architectural-engineering.do
1,1,전공기초,공업수학1,,,,https://www.sejong.ac.kr/kor/college/architectural-engineering.do
1,2,공통필수,세종인을위한전공탐색,,,,https://www.sejong.ac.kr/kor/college/architectural-engineering.do
1,2,공통필수,서양철학:쟁점과토론,,,,https://www.sejong.ac.kr/kor/college/architectural-engineering.do
1,2,공통필수,대학영어,,,,https://www.sejong.ac.kr/kor/college/architectural-engineering.do
1,2,학문기초교양필수,고급프로그래밍활용,,,,https://www.sejong.ac.kr/kor/college/architectural-engineering.do
1,2,학문기초교양필수,미적분학2,,,,https://www.sejong.ac.kr/kor/college/architectural-engineering.do
1,2,전공기초,일반화학1,,,,https://www.sejong.ac.kr/kor/college/architectural-engineering.do
1,2,전공기초,공업수학2,,,,https://www.sejong.ac.kr/kor/college/architectural-engineering.do
2,1,전공필수,건축기초설계,,,"설계 도면 작성 기초, 공간 구성 원리, 모형 제작 실습",https://www.sejong.ac.kr/kor/college/architectural-engineering.do
2,1,전공선택,건축환경개론,,,"열 및 빛 및 음환경 기초, 에너지 절약 건축, 실내 환경 기준",https://www.sejong.ac.kr/kor/college/architectural-engineering.do
2,1,전공선택,건축구조시스템,,,"하중 전달 체계, 구조 형식별 특성, 공간 구조 시스템",https://www.sejong.ac.kr/kor/college/architectural-engineering.do
2,1,전공선택,건축공학개론,,,"건설 산업 이해, 건축 엔지니어링 기초, 기술 트렌드 분석",https://www.sejong.ac.kr/kor/college/architectural-engineering.do
2,2,전공필수,구조역학1,,,"힘의 평형과 합력, 단면 일차 및 이차 모멘트, 보의 응력 해석",https://www.sejong.ac.kr/kor/college/architectural-engineering.do
2,2,전공선택,건축디지털설계,,,"BIM 소프트웨어 활용, 3D 파라메트릭 디자인, 디지털 트윈 구축",https://www.sejong.ac.kr/kor/college/architectural-engineering.do
2,2,전공선택,건축설비개론,,,"급배수 시스템, 환기 및 냉난방 기초, 건물 에너지 성능",https://www.sejong.ac.kr/kor/college/architectural-engineering.do
2,2,전공선택,창의공학설계,,,"문제 정의 및 아이디어 도출, 융합 설계 프로세스, 프로토타이핑",https://www.sejong.ac.kr/kor/college/architectural-engineering.do
